vertex count,edge count,wing count,junction count,supply count,exit count,supply cap,budget used,budget,budget percent,value collected,value total,seed,op count
300,594,3,4,50,2,5,4787,5809,60,122,155,205,524674
400,792,4,6,50,2,5,4927,5607,35,80,158,206,493603
400,792,4,6,50,2,5,8316,9613,60,112,158,206,661586
200,396,2,2,50,2,5,3417,3965,35,88,149,207,427642
200,396,2,2,50,2,5,5812,6797,60,112,149,207,575047
300,594,3,4,50,2,5,4757,5697,35,75,145,208,400069
300,594,3,4,50,2,5,8240,9767,60,102,145,208,530723
400,792,4,6,50,2,5,6913,8600,35,84,138,209,618761
400,792,4,6,50,2,5,11735,14743,60,106,138,209,884975
200,396,2,2,50,2,5,3775,4227,35,81,139,210,389569
200,396,2,2,50,2,5,6314,7246,60,108,139,210,524713
300,594,3,4,50,2,5,5259,6256,35,92,144,211,491526
300,594,3,4,50,2,5,8671,10724,60,111,144,211,680428
400,792,4,6,50,2,5,7744,9325,35,81,152,212,661213
400,792,4,6,50,2,5,13292,15985,60,111,152,212,950752
200,396,2,2,50,2,5,2338,2719,35,88,160,213,314835
200,396,2,2,50,2,5,4026,4661,60,120,160,213,406640
300,594,3,4,50,2,5,4930,6292,35,100,158,214,481560
300,594,3,4,50,2,5,8764,10786,60,122,158,214,667831
400,792,4,6,50,2,5,7801,8915,35,80,130,215,634370
400,792,4,6,50,2,5,13166,15283,60,98,130,215,800984
200,396,2,2,50,2,5,1876,2264,35,77,148,216,252310
200,396,2,2,50,2,5,3352,3881,60,106,148,216,313360
300,594,3,4,50,2,5,2889,3348,35,84,142,217,341198
300,594,3,4,50,2,5,4764,5739,60,107,142,217,439851
400,792,4,6,50,2,5,4449,5269,35,94,150,218,485663
400,792,4,6,50,2,5,7832,9033,60,119,150,218,635935
200,396,2,2,50,2,5,2810,3423,35,86,143,219,335526
200,396,2,2,50,2,5,4860,5867,60,112,143,219,465417
300,594,3,4,50,2,5,4394,5038,35,79,152,220,382898
300,594,3,4,50,2,5,7436,8636,60,109,152,220,523022
400,792,4,6,50,2,5,6131,7268,35,92,145,221,551281
400,792,4,6,50,2,5,10976,12459,60,113,145,221,790267
